,Unnamed: 0,level_0,level_1,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,roce_rank,ticker_x,coef_x,r_squared_x,std_x,coef_rank_x,std_rank_x,average_score,ticker_y,coef_y,r_squared_y,std_y,coef_rank_y,std_rank_y,coef_w
612,9801,FCFS,Return on Capital Employed,0.1938,0.1471,0.0568,0.1011,0.1187,0.1156,0.0799,0.0578,0.1093,0.0976,,463.0,FCFS,-0.007224848485190066,0.2842353799132027,0.038923927088617354,1008.0,514.0,256.8,FCFS,-0.007224848485190066,0.2842353799132027,0.038923927088617354,1004.0,514.0,-0.0020535575540033255
613,9817,FCPT,Return on Capital Employed,-0.0104,0.0117,0.0989,0.0873,0.0778,0.0704,0.0655,0.0632,0.0625,0.054,,753.0,FCPT,0.0,0.14146700864283757,0.03165250227075262,662.5,421.0,217.80833333333337,FCPT,0.0,0.14146700864283757,0.03165250227075262,662.5,421.0,0.0
614,9833,FDBC,Return on Capital Employed,0.017,0.0163,0.0163,0.0155,0.0201,0.0226,0.0122,0.0132,0.0178,0.0156,,1124.5,FDBC,0.0,0.0227845074098868,0.002883123306416151,662.5,19.0,234.85833333333335,FDBC,0.0,0.0227845074098868,0.002883123306416151,662.5,19.0,0.0
615,9849,FDMT,Return on Capital Employed,,,,-0.5283,-0.0979,-1.0889,-0.2087,-0.2115,-0.4628,-0.2968,,1571.0,FDMT,,,0.30885594356843943,,1469.0,,FDMT,,,0.30885594356843943,,1469.0,
616,9865,FDP,Return on Capital Employed,0.0703,0.036,0.1052,0.0638,0.0063,0.0403,0.0269,0.0367,0.0499,0.0117,,1153.0,FDP,-0.005147272727516292,0.282149869533302,0.027833269660605814,976.0,364.0,312.43333333333334,FDP,-0.005147272727516292,0.282149869533302,0.027833269660605814,975.0,364.0,-0.0014523023285210454
617,9881,FELE,Return on Capital Employed,0.1136,0.1123,0.1273,0.1219,0.141,0.1235,0.1194,0.1643,0.1904,0.1753,,204.0,FELE,0.007648484848844975,0.687942802889919,0.026486600385855492,259.0,341.0,84.93333333333334,FELE,0.007648484848844975,0.687942802889919,0.026486600385855492,190.0,341.0,0.0052617201047754905
618,9897,FENC,Return on Capital Employed,-3.5498,-1.208,-0.7835,-0.2651,-0.4803,-1.0758,-0.6226,-0.8295,-1.0182,-0.6738,,1765.0,FENC,0.15342181818909367,0.25350914217531295,0.875220107401561,20.0,1663.0,263.31666666666666,FENC,0.15342181818909367,0.25350914217531295,0.875220107401561,41.0,1663.0,0.038893833520093964
619,9913,FET,Return on Capital Employed,0.1407,-0.059,-0.0653,-0.0143,-0.2243,-0.5579,-0.1039,-0.0812,0.0674,0.017,,1113.5,FET,0.0,0.007520921233405198,0.18274258288641976,662.5,1324.0,299.0083333333334,FET,0.0,0.007520921233405198,0.18274258288641976,662.5,1324.0,0.0
620,9929,FFBC,Return on Capital Employed,0.0173,0.0186,0.0215,0.0207,0.0235,0.0281,0.0164,0.0174,0.0204,0.0504,,791.5,FFBC,0.0017072727273531325,0.262452088082026,0.00957204784777009,355.0,128.0,150.63333333333335,FFBC,0.0017072727273531325,0.262452088082026,0.00957204784777009,365.0,128.0,0.00044807729221932514
621,9945,FFIC,Return on Capital Employed,0.0251,0.0216,0.0556,0.043,0.0533,0.0244,0.0144,0.0188,0.0212,0.0396,,895.5,FFIC,0.0,0.044245256810419464,0.014151607682521442,662.5,193.0,220.6583333333334,FFIC,0.0,0.044245256810419464,0.014151607682521442,662.5,193.0,0.0
622,9961,FFIN,Return on Capital Employed,0.0224,0.0204,0.0335,0.0337,0.0384,0.0393,0.0343,0.0321,0.0378,0.0418,,874.0,FFIN,0.0017703030303872647,0.5845364736825913,0.006650721765342465,350.0,83.0,155.71666666666667,FFIN,0.0017703030303872647,0.5845364736825913,0.006650721765342465,315.0,83.0,0.001034806690732177
623,9977,FFNW,Return on Capital Employed,0.0243,0.0212,0.0194,0.0194,0.0266,0.0251,0.0188,0.0168,0.0182,0.0159,,1122.5,FFNW,-0.0006842424242751883,0.3254015117689393,0.003445301147940481,933.0,25.0,284.55,FFNW,-0.0006842424242751883,0.3254015117689393,0.003445301147940481,935.0,25.0,-0.00022265351927559023
624,9993,FFWM,Return on Capital Employed,0.0143,0.0113,0.0125,0.0163,0.0193,0.0253,0.0241,0.0164,0.0183,0.0202,,1070.0,FFWM,0.0009151515151946414,0.3617483737902586,0.004370354676682431,385.0,39.0,179.53333333333333,FFWM,0.0009151515151946414,0.3617483737902586,0.004370354676682431,374.0,39.0,0.00033105457239335266
625,10009,FG,Return on Capital Employed,,,-0.0005,0.0068,0.0,0.0138,0.0011,0.023,0.0114,0.0035,,1191.0,FG,,,0.007687235767816673,,95.0,,FG,,,0.007687235767816673,,95.0,
626,10025,FHTX,Return on Capital Employed,,,,,-0.6536,-5.2206,-0.2865,-0.211,-1.7697,-0.4141,,1659.0,FHTX,,,1.7754035892501236,,1730.0,,FHTX,,,1.7754035892501236,,1730.0,
627,10041,FIBK,Return on Capital Employed,0.0174,0.0171,0.0181,0.0152,0.0187,0.0203,0.0135,0.0136,0.0106,0.0712,,620.5,FIBK,0.0025012121213305585,0.18354632984316677,0.016768902766728655,330.0,226.0,133.85,FIBK,0.0025012121213305585,0.18354632984316677,0.016768902766728655,364.0,226.0,0.0004590883050294655
628,10057,FIGS,Return on Capital Employed,,,,,,0.0027,0.5731,0.0405,0.1164,0.1144,,379.0,FIGS,,,0.20650026053252332,,1361.0,,FIGS,,,0.20650026053252332,,1361.0,
629,10073,FIHL,Return on Capital Employed,,,,,,,0.0314,0.0171,0.2408,0.4075,,29.0,FIHL,,,0.16119607625497587,,1278.0,,FIHL,,,0.16119607625497587,,1278.0,
630,10089,FIP,Return on Capital Employed,,,,,,0.0228,-0.0478,-0.0406,-0.056,-0.0086,,1227.0,FIP,,,0.029232146688192434,,384.0,,FIP,,,0.029232146688192434,,384.0,
631,10105,FISI,Return on Capital Employed,0.0166,0.0159,0.0168,0.0167,0.0207,0.0269,0.0153,0.0219,0.0197,0.0259,,1028.0,FISI,0.0008351515151903692,0.36673341274881066,0.003961110955275048,387.0,32.0,175.35,FISI,0.0008351515151903692,0.36673341274881066,0.003961110955275048,378.0,32.0,0.00030627796532810427
632,10121,FIZZ,Return on Capital Employed,0.4028,0.4137,0.4042,0.6022,0.5808,0.5183,0.3343,0.5569,0.6445,0.4341,0.3636,25.0,FIZZ,0.0,0.09945544062693257,0.09905956591869357,662.5,1023.0,175.10833333333335,FIZZ,0.0,0.09945544062693257,0.09905956591869357,662.5,1023.0,0.0
633,10137,FL,Return on Capital Employed,0.2846,0.2758,0.3144,0.1764,0.2365,0.1267,0.0939,0.1965,0.0853,-0.0742,,1356.0,FL,-0.03339090909249268,0.7370943830472394,0.11171041536043093,1175.0,1101.0,406.06666666666666,FL,-0.03339090909249268,0.7370943830472394,0.11171041536043093,1187.0,1101.0,-0.024612251536917346
634,10153,FLGT,Return on Capital Employed,-0.5879,-0.9687,0.0169,-0.0635,-0.1063,0.0049,0.5038,0.5851,0.1504,-0.1081,,1391.0,FLGT,0.10185454545936731,0.4511225515055094,0.4355721666957153,34.0,1555.0,223.08333333333334,FLGT,0.10185454545936731,0.4511225515055094,0.4355721666957153,34.0,1555.0,0.045948882430063676
