,ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,A,0.09165349827076852,0.08049929946515388,0.09332667494908146,0.12094599636135518,0.12601473262616844,0.12518788293490513,0.10641980761913605,0.15662912912475563,0.18687278593817236,0.14885107455173185,0.12235298307442456
0,AAPL,0.3100004974295091,0.35652326330324974,0.26434258199139155,0.23714178397633845,0.26033361823417817,0.2601526500286275,0.2911110045308272,0.4846455595398136,0.548953184726987,0.5450553844179464,0.44128962354248513
0,ABBV,0.15661506027181293,0.24236434908701918,0.17701772165967128,0.17303048011645905,0.12195718410672293,0.2709834043105822,0.11097162851151565,0.1531996758515831,0.16565721796860877,0.13856954910769903,0.07863181028707852
0,ABNB,,,,,,-0.1065998559984137,-0.5392697939310896,0.04552160543509087,0.22515999395134606,0.150891674283716,0.05708283074760631
0,ABT,0.08842587501017808,0.08591029276955717,0.09233846110830912,0.026347702844714674,0.06158995179761204,0.07794438450241736,0.09071452547251059,0.1379969108608775,0.1377987565874534,0.11800323281613583,0.05388595916043136
0,ACGL,0.18563364473172211,0.17229828815126982,0.15657017338977586,0.17340934264352434,0.1723454057232966,0.19213068482777745,0.20467022237349497,0.021933466529083078,0.03933294439797087,0.05298018675442734,0.0795845873801509
0,ACN,0.46652952531147396,0.4653020027717787,0.451447761757558,0.38826254814746985,0.42637621546995247,0.3607991977622721,0.28412498203627534,0.2873629562093294,0.3216352789916793,0.2755329592973059,0.2724091142333125
0,ADBE,0.05030656578115176,0.09631732320653913,0.1520349109682314,0.20536716667714164,0.23426355276205613,0.2583741428716113,0.24699119917291998,0.2942761879068218,0.3207847592479389,0.3271406869924914,0.28973623987227093
0,ADI,0.12340287137173758,0.13715380676072758,0.1459850021614631,0.06790546022296085,0.09758548158296186,0.08400071842702898,0.07536164396207641,0.08544073169589429,0.07108149571539404,0.0816140545221718,0.032489288566019695
0,ADM,0.11295236223024621,0.06964998083630136,0.0720988549325568,0.07178128342097004,0.06830740870772431,0.07117470225016712,0.06674528393862357,0.09038534219441663,0.1406805704175433,0.11152461241884426,0.04576149762735514
0,ADP,0.2355151169706347,0.25169784765774966,0.2341207593377838,0.26212481466016535,0.28441041229680414,0.2803064339135541,0.2994349086121409,0.2870532083075836,0.3634180357039513,0.5312669720082109,0.5555172232274814
0,ADSK,0.035853463449733745,0.034131434101588906,0.0009424648896244362,-0.16087698942078216,-0.22380332585621335,-0.014923613023684631,0.13922119515634418,0.19018691086885176,0.1340747451659389,0.20476870792193097,0.21176705496047576
0,AEE,0.06455890217252072,0.06042788684246466,0.06364220769802321,0.06421921294292235,0.05672923645898234,0.04908561230607445,0.04604877591958549,0.04189238816622236,0.04592734627995811,0.04345475825913024,0.019061244548331698
0,AEP,0.06392660993195025,0.06243952445806779,0.021431325201601653,0.0646519075356298,0.04612742533917073,0.04032038932103033,0.04364742001460525,0.04567551666464212,0.046960402598506666,0.04264380616870081,0.02329875525673379
0,AFL,0.03940024573727031,0.03582500228024887,0.033626112575855995,0.03276709003444384,0.030516674118973523,0.0321535870678769,0.028460291599979953,0.0358757080731471,0.03620022164451489,0.041392033779481315,0.03649559832348334
0,AIG,0.030053804042464813,0.017866171157037307,0.003777715097529182,-0.011274543958099443,0.0015766751114847136,0.006544273782249349,-0.02005256668262169,0.018484298084833168,0.028284046253015276,0.0044616756052358,0.012497630112981722
0,AIZ,0.11598222665979395,0.03360833131316969,0.14680036598191123,0.08347176956487193,0.04604836505957391,0.06994844832635887,0.04429973395857068,0.05208635040134202,0.015085465152770108,0.0262399095767795,0.018122309993443688
0,AJG,0.065256997052316,0.06521367835861745,0.07262565511963777,0.06898488855555336,0.07347336732839987,0.07297876044198603,0.090356857191072,0.08665906252189548,0.10450427148679678,0.11354539479816689,0.062147333748021595
0,AKAM,0.13865107830438667,0.12262485045280656,0.11732793374306684,0.07744366516134546,0.08831633733965205,0.1040650562564788,0.09897402268109252,0.10757706188786824,0.09117788267054298,0.0848757753898291,0.03696082298490257
0,ALB,0.10136862548649592,0.05390625412127727,0.07548745962442423,0.09219601865266802,0.1404601931178768,0.09543368510444948,0.058381224550145217,0.08275951758663258,0.21800089073037165,0.0176638467416996,-0.020110367426281896
0,ALGN,0.26252066313194183,0.22409668416321052,0.25231398674520045,0.2960950656012919,0.35264612922141714,0.35941153348844634,0.11382947407219177,0.25666300060046804,0.14827833185251238,0.15348639634027922,0.08056102559554465
0,ALL,-0.005443111958130291,0.00019839998750134028,0.04989836373785553,0.2478472331067417,0.20223248519274153,0.3106208270275634,0.10249061405378761,0.0527923396010228,0.000683109812100801,-0.02651778810641542,0.03963187054059741
0,ALLE,0.21419796218051476,0.21517103099780777,0.22882252145894927,0.25060916073748085,0.23698947245121044,0.23816750331257533,0.16265295840935015,0.21858069317421608,0.19510637699041183,0.20624493165256097,0.10882165149068981
0,AMAT,0.15159332846651663,0.1574316546749333,0.19918114378630636,0.27833526911009854,0.34052426357735854,0.22377034208708096,0.2605409076549067,0.3576039585567422,0.40641624967980167,0.3507882586457349,0.23019322918492924
0,AMCR,0.17432274236317644,0.1970966563296918,0.21935848163480903,0.20292389573464148,0.20361532853243608,1394615.5005539586,0.08174496457550331,0.11840140486705723,0.11089290165359157,0.11815591031524746,0.0968877096040146
0,AMD,0.057773241516667906,-0.18656724731965474,-0.2033367561150467,0.06386320572125444,0.21567555158337667,0.17962054612296316,0.27189803851716676,0.4682243025104809,0.020510688336105736,0.0066160128007450355,0.004946560309666345
